clientid_cr,pubclientid_cr,clmbuserid_cr,imprid_cr,siteId_cr,countryDimId_cr,browserId_cr,adslotdimid_cr,itemcolumbiaid_cr,ispDimId_cr,osVerDimId_cr,conversion_fraud
330,82663,fa43fe45-1395-493e-91da-fee7f6cbceaa-10tu0,69a934e8-696c-4476-8cb0-2a1eb7ff38e7-10ntc,3166,144.0,129639.0,349642,5618155,136127.0,0.0,True
330,2658,5161a4a8-2591-4f2a-86f2-0d4df6eeb90f-10nql,e1d3dbe0-0429-4a58-8a88-54ba15431e14-3qpg,3,144.0,0.0,332783,5617956,136127.0,0.0,True
330,2310,12477819-3157-48c7-8ccd-92aba5010cf1-10tu0,6948f992-6cde-448c-82ba-b925b38cd6b5-10ni8,16,144.0,0.0,323085,5618155,151879.0,0.0,True
330,82663,fa43fe45-1395-493e-91da-fee7f6cbceaa-10tu0,69a934e8-696c-4476-8cb0-2a1eb7ff38e7-10ntc,3166,144.0,129639.0,349642,5618155,136127.0,0.0,True
910,16153,a1980581-7f80-4728-a2fc-20edd48eba4b-10vj4,37a6b333-9412-491e-976d-0b65441bb52f-10ni8,1057,433.0,129408.0,319522,5604001,146453.0,360956.0,True
910,2308,c576f053-867c-4f5e-a77b-3ea31a3871f2-1siz8,e77c761d-620b-4e73-9131-8186d1d5f6cb-1siz8,432,1153.0,129473.0,211156,5609888,168015.0,359469.0,True
910,2658,f94a5100-81d0-4c7c-b9f3-9a60b8dafaed-1sjac,fae4974e-21bc-4332-8633-79639aaef257-1sjac,667,423.0,129473.0,308708,5612209,168516.0,0.0,True
910,85383,96a0862a-b2d4-406b-b0fa-baaee4b1c0c9-1sk7o,a7e17ab6-6c5b-4b6c-a476-a3f25e15e805-10nns,3327,1021.0,129473.0,358006,5612209,0.0,0.0,True
910,29110,7c477b7a-0b47-44dd-ad85-b01376ad3a84-10tu0,420a0ca4-8641-4035-b308-9ed572483299-1sjlg,2937,417.0,129408.0,357800,5612209,163532.0,360956.0,True
910,85383,96a0862a-b2d4-406b-b0fa-baaee4b1c0c9-1sk7o,a7e17ab6-6c5b-4b6c-a476-a3f25e15e805-10nns,3327,1021.0,129473.0,358006,5612209,0.0,0.0,True
910,82908,dcdc0b68-70b3-4acc-9916-bf766bc57918-10o78,f190cc29-01cc-4c8d-ae87-1735843386dd-1siwg,3182,433.0,129408.0,350059,5601794,0.0,360833.0,True
910,80269,798f1a71-b98b-4643-99ca-2165f3df9c06-10nqk,a50bffd8-f019-4ccd-954f-76271d3ea93e-10nqk,3044,417.0,129408.0,341624,5612209,275235.0,206069.0,True
910,77853,bd86b33f-4127-4acc-b34c-c1552a280296-1sjfw,8898a676-2617-4a8a-b021-e3c33faf1d8e-62qg,2959,433.0,129408.0,336432,5614994,146453.0,360833.0,True
910,15240,254dd625-f1c1-4d37-84cc-6cd4373b6ace-6mkc,e0613370-4b28-4274-be5a-2b8758a75ac1-1sk24,179,1153.0,129477.0,210792,5601814,168015.0,360833.0,True
549,85030,acf2cb48-1742-4c94-8622-11db33f60720-10ntc,fe4ccdc9-0516-4c44-ae17-983ac9d84dce-10ocs,3290,144.0,129639.0,357097,5612584,153317.0,199414.0,True
549,85030,acf2cb48-1742-4c94-8622-11db33f60720-10ntc,9237c4e1-89ab-4b68-9f85-ceadf9cf7738-1siz8,3290,144.0,129639.0,357097,5609984,153317.0,199414.0,True
549,85030,4e796fe1-fa7d-4afc-a759-50ff51befc7b-h0hg,dba95d0a-d019-49a5-98ba-b5faadf407c6-h0k8,3290,144.0,129639.0,357097,5609984,153317.0,199414.0,True
549,85030,4e796fe1-fa7d-4afc-a759-50ff51befc7b-h0hg,52f3e24e-dbd2-44f2-95eb-f48bf9fbc7e7-h0hg,3290,144.0,129639.0,357097,5612584,153317.0,199414.0,True
549,2309,77fe4e82-131d-4eb3-92e5-d099cab39b6c-62kw,6d00f87b-d9a3-4c61-a00d-cadd4f44f643-1sjr0,9,144.0,0.0,251632,5612218,273191.0,0.0,True
549,16153,0219da5c-823a-4e1e-abbf-47259bf0f6f5-10tzk,b687acc6-de2f-4fe6-8adf-a57012124f76-1sito,2627,144.0,129408.0,322158,5612221,273302.0,359921.0,True
549,16153,2eae588e-b322-441f-87c7-9b0e6f886bac-1sjts,4bfb734e-bc63-4a4f-83ec-2ab6a5a19761-1sjzc,2627,144.0,129408.0,322158,5610383,136127.0,360956.0,True
